fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time
7218,664,Herb Dean,2976.0,2884.0,2884.0,5,F,Lightweight,M,KO/TKO,"to    
      Leg Injury",2,2:03
7217,664,Mark Smith,1662.0,2464.0,1662.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7216,664,Kerry Hatley,981.0,179.0,981.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head From Mount,2,2:42
7215,664,Dan Miragliotta,3831.0,2974.0,3831.0,3,F,Welterweight,M,Submission,Rear Naked Choke,2,4:32
7214,664,Herb Dean,1108.0,2320.0,2320.0,3,F,Featherweight,M,Submission,Guillotine Choke From Bottom Guard,1,3:12
7213,664,Kerry Hatley,3945.0,2373.0,2373.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7212,664,Dan Miragliotta,1752.0,3002.0,1752.0,3,F,Welterweight,M,KO/TKO,Punches to Head At Distance,3,1:15
7211,664,Mark Smith,1885.0,3646.0,3646.0,3,F,Middleweight,M,DQ,Strike to back of head,1,4:15
7210,664,Dan Miragliotta,309.0,3421.0,309.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
7208,664,Kerry Hatley,249.0,1071.0,1071.0,3,F,Women's Bantamweight,F,Decision,Split,3,5:00
7207,663,Jason Herzog,2534.0,3250.0,3250.0,3,F,Welterweight,M,Decision,Split,3,5:00
7206,663,Mark Smith,946.0,1660.0,946.0,3,F,Bantamweight,M,KO/TKO,Punches to Head From Back Control,1,0:54
7205,663,Jason Herzog,23.0,2846.0,23.0,3,F,Lightweight,M,Submission,Anaconda Choke On Ground,2,3:26
7204,663,Chris Tognoni,1348.0,1495.0,1495.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7203,663,Herb Dean,2814.0,1085.0,2814.0,3,F,Women's Strawweight,F,Submission,Rear Naked Choke,2,3:38
7202,663,Mark Smith,2181.0,2929.0,2181.0,3,F,Middleweight,M,KO/TKO,Punch to Body At Distance,2,4:44
7201,663,Jason Herzog,3389.0,2400.0,3389.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7200,663,Mark Smith,1064.0,3574.0,3574.0,3,F,Lightweight,M,KO/TKO,Punches to Head At Distance,1,3:38
7199,663,Chris Tognoni,2196.0,1874.0,2196.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00
7198,662,Marc Goddard,4089.0,512.0,512.0,5,T,Middleweight,M,Decision,Unanimous,5,5:00
7197,662,Herb Dean,342.0,225.0,225.0,3,F,Heavyweight,M,Submission,Ezekiel Choke From Mount,2,4:37
7196,662,Greg Kleynjans,2285.0,3179.0,2285.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00
7195,662,Jim Perdios,471.0,2120.0,471.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:22
7194,662,Marc Goddard,1280.0,335.0,1280.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,2:12
7193,662,Herb Dean,323.0,2307.0,323.0,3,F,Light Heavyweight,M,Submission,Rear Naked Choke,3,4:49
7192,662,Greg Kleynjans,2390.0,1865.0,1865.0,3,F,Featherweight,M,KO/TKO,"to    
      Arm Injury",2,3:19
7191,662,Jim Perdios,1573.0,1896.0,1573.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7190,662,Marc Goddard,2650.0,1132.0,2650.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7189,662,Herb Dean,3227.0,1127.0,1127.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7188,662,Greg Kleynjans,42.0,1672.0,1672.0,3,F,Featherweight,M,Submission,Rear Naked Choke,1,0:59
7187,662,Jim Perdios,2319.0,3353.0,2319.0,3,F,Welterweight,M,Submission,Rear Naked Choke,1,4:49
7186,661,Marc Goddard,2881.0,567.0,2881.0,5,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,2,3:44
7185,661,Rich Mitchell,2983.0,1523.0,2983.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7184,661,Lukasz Bosacki,899.0,1643.0,899.0,3,F,Lightweight,M,KO/TKO,Punches to Head On Ground,2,4:44
7183,661,Marc Goddard,1417.0,2691.0,1417.0,3,F,Light Heavyweight,M,Submission,Rear Naked Choke,1,3:46
7182,661,Loic Pora,2794.0,2849.0,2794.0,3,F,Featherweight,M,KO/TKO,Kick to Body At Distance,3,2:20
7181,661,Rich Mitchell,3488.0,25.0,3488.0,3,F,Featherweight,M,KO/TKO,Kicks to Body At Distance,1,3:51
7180,661,Lukasz Bosacki,2115.0,1971.0,2115.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7179,661,Loic Pora,1986.0,1764.0,1986.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7178,661,Lukasz Bosacki,3395.0,3114.0,3395.0,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00
7177,661,Loic Pora,3837.0,987.0,3837.0,3,F,Bantamweight,M,Submission,Arm Triangle From Side Control,1,4:15
7176,661,Rich Mitchell,3035.0,3505.0,3505.0,3,F,Catch Weight,M,Decision,Unanimous,3,5:00
7174,660,Mark Craig,632.0,579.0,632.0,3,F,Light Heavyweight,M,Decision,Split,3,5:00
7173,660,Marc Goddard,3477.0,3591.0,3477.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7172,660,Kevin Sataki,1528.0,2868.0,1528.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7171,660,Thomas Fan,3755.0,827.0,3755.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7170,660,Marc Goddard,470.0,1179.0,470.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:24
7169,660,Mark Craig,3390.0,3639.0,3390.0,3,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,1,3:01
7168,660,Kevin Sataki,2265.0,3941.0,3941.0,3,F,Bantamweight,M,KO/TKO,Punches to Head At Distance,1,4:16
7167,660,Thomas Fan,1463.0,1403.0,1403.0,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,1,4:16
7166,660,Marc Goddard,607.0,3820.0,607.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7165,660,Mark Craig,2811.0,2212.0,2811.0,3,F,Welterweight,M,KO/TKO,Punch to Body At Distance,1,3:49
7164,660,Kevin Sataki,2028.0,4049.0,4049.0,3,F,Women's Flyweight,F,KO/TKO,Elbows to Head From Back Control,2,4:49
7163,660,Thomas Fan,3471.0,3072.0,3471.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7162,659,Marc Goddard,541.0,1426.0,1426.0,5,T,Bantamweight,M,KO/TKO,Punches to Head On Ground,2,0:51
7161,659,Kevin MacDonald,16.0,2057.0,16.0,5,T,Women's Strawweight,F,Decision,Unanimous,5,5:00
7160,659,Keith Peterson,1915.0,2865.0,2865.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7159,659,Bryan Miner,3756.0,3829.0,3829.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7158,659,Herb Dean,263.0,1571.0,263.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7157,659,Keith Peterson,164.0,438.0,438.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7156,659,Bryan Miner,988.0,392.0,988.0,3,F,Middleweight,M,KO/TKO,Elbows to Head From Mount,1,1:43
7155,659,John English,2526.0,2487.0,2526.0,3,F,Lightweight,M,Submission,Triangle Choke From Bottom Guard,2,2:39
7154,659,Marc Goddard,2273.0,2840.0,2273.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7153,659,Herb Dean,1230.0,1741.0,1230.0,3,F,Middleweight,M,Decision,Split,3,5:00
7152,659,Kevin MacDonald,2068.0,681.0,681.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7151,659,John English,678.0,1596.0,678.0,3,F,Women's Flyweight,F,Submission,Guillotine Choke From Bottom Guard,1,4:59
7150,658,Mark Smith,1953.0,3185.0,1953.0,5,F,Welterweight,M,Decision,Unanimous,5,5:00
7149,658,Jason Herzog,484.0,3280.0,484.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7148,658,Herb Dean,935.0,3293.0,935.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,2:40
7147,658,Chris Tognoni,252.0,1958.0,1958.0,3,F,Women's Strawweight,F,Submission,Arm Triangle From Side Control,2,3:42
7146,658,Herb Dean,3198.0,1507.0,3198.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7145,658,Mark Smith,2929.0,1207.0,2929.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7144,658,Jason Herzog,3598.0,1772.0,1772.0,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,1,2:19
7143,658,Chris Tognoni,1760.0,3684.0,1760.0,3,F,Lightweight,M,KO/TKO,Punches to Head At Distance,1,1:25
7142,658,Jason Herzog,1850.0,3151.0,3151.0,3,F,Featherweight,M,KO/TKO,Elbows to Head From Mount,1,4:48
7141,658,Herb Dean,1322.0,3634.0,3634.0,3,F,Heavyweight,M,Submission,Kimura From Side Control,1,4:11
7140,658,Chris Tognoni,3988.0,915.0,3988.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head From Mount,3,3:41
7139,658,Mark Smith,3756.0,2355.0,3756.0,3,F,Bantamweight,M,Submission,Twister From Back Control,1,3:47
7138,658,Jason Herzog,1687.0,822.0,822.0,3,F,Women's Flyweight,F,KO/TKO,Punches to Head At Distance,1,3:41
7137,657,Jason Herzog,857.0,2961.0,857.0,5,F,Catch Weight,M,Decision,Unanimous,5,5:00
7136,657,Kevin MacDonald,3976.0,505.0,505.0,3,F,Women's Strawweight,F,Submission,Guillotine Choke After Drop to Guard,2,1:31
7135,657,Gary Copeland,2413.0,1432.0,2413.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:22
7134,657,Jimmy Neely,1983.0,346.0,1983.0,3,F,Featherweight,M,Submission,Triangle Armbar From Bottom Guard,1,1:38
7133,657,Justin Brown,3716.0,3569.0,3716.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
7132,657,Jason Herzog,3884.0,2205.0,2205.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7131,657,Kevin MacDonald,1213.0,3862.0,1213.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7130,657,Jason Herzog,161.0,2632.0,2632.0,3,F,Welterweight,M,Submission,Anaconda Choke On Ground,3,1:50
7129,657,Kevin MacDonald,1139.0,2420.0,1139.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7128,657,Jimmy Neely,3140.0,2680.0,3140.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00
7127,657,Justin Brown,98.0,3597.0,98.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
